"ID","Active","Exam","Topic","Subtopic","PublishDate","Question","OptionA","OptionB","OptionC","OptionD","CorrectAnswer","ExplanationA","ExplanationB","ExplanationC","ExplanationD"
"FALLBACK-011","TRUE","TNPSC Group IV","TNPSC Group IV Mixed","Tamil Nadu","","The first Chief Minister of Tamil Nadu after the state was renamed from Madras State was:","C. Rajagopalachari","K. Kamaraj","C.N. Annadurai","M. Karunanidhi","C","Incorrect. The correct answer is C: C.N. Annadurai. C.N. Annadurai was Chief Minister when Madras State was renamed Tamil Nadu in 1969.","Incorrect. The correct answer is C: C.N. Annadurai. C.N. Annadurai was Chief Minister when Madras State was renamed Tamil Nadu in 1969.","Correct. C.N. Annadurai was Chief Minister when Madras State was renamed Tamil Nadu in 1969.","Incorrect. The correct answer is C: C.N. Annadurai. C.N. Annadurai was Chief Minister when Madras State was renamed Tamil Nadu in 1969."
"FALLBACK-012","TRUE","TNPSC Group IV","TNPSC Group IV Mixed","Tamil Nadu","","Which classical dance form is strongly associated with Tamil Nadu?","Kathak","Bharatanatyam","Manipuri","Sattriya","B","Incorrect. The correct answer is B: Bharatanatyam. Bharatanatyam developed and flourished in Tamil Nadu and is one of India's major classical dance traditions.","Correct. Bharatanatyam developed and flourished in Tamil Nadu and is one of India's major classical dance traditions.","Incorrect. The correct answer is B: Bharatanatyam. Bharatanatyam developed and flourished in Tamil Nadu and is one of India's major classical dance traditions.","Incorrect. The correct answer is B: Bharatanatyam. Bharatanatyam developed and flourished in Tamil Nadu and is one of India's major classical dance traditions."
"FALLBACK-013","TRUE","TNPSC Group IV","TNPSC Group IV Mixed","Aptitude","","If 25% of a number is 60, what is the number?","180","200","220","240","D","Incorrect. The correct answer is D: 240. 25% of x = 60, so x = 60 × 100 ÷ 25 = 240.","Incorrect. The correct answer is D: 240. 25% of x = 60, so x = 60 × 100 ÷ 25 = 240.","Incorrect. The correct answer is D: 240. 25% of x = 60, so x = 60 × 100 ÷ 25 = 240.","Correct. 25% of x = 60, so x = 60 × 100 ÷ 25 = 240."
"FALLBACK-014","TRUE","TNPSC Group IV","TNPSC Group IV Mixed","Aptitude","","A shop gives a 10% discount on an item marked ₹800. What is the selling price?","₹700","₹720","₹740","₹760","B","Incorrect. The correct answer is B: ₹720. 10% of ₹800 is ₹80. Selling price = ₹800 − ₹80 = ₹720.","Correct. 10% of ₹800 is ₹80. Selling price = ₹800 − ₹80 = ₹720.","Incorrect. The correct answer is B: ₹720. 10% of ₹800 is ₹80. Selling price = ₹800 − ₹80 = ₹720.","Incorrect. The correct answer is B: ₹720. 10% of ₹800 is ₹80. Selling price = ₹800 − ₹80 = ₹720."
"FALLBACK-015","TRUE","TNPSC Group IV","TNPSC Group IV Mixed","Aptitude","","The HCF of 24 and 36 is:","6","8","12","18","C","Incorrect. The correct answer is C: 12. The greatest common factor of 24 and 36 is 12.","Incorrect. The correct answer is C: 12. The greatest common factor of 24 and 36 is 12.","Correct. The greatest common factor of 24 and 36 is 12.","Incorrect. The correct answer is C: 12. The greatest common factor of 24 and 36 is 12."
"FALLBACK-016","TRUE","TNPSC Group IV","TNPSC Group IV Mixed","Aptitude","","A person completes a job in 10 days. What fraction of the work is completed in one day?","1/5","1/8","1/10","1/12","C","Incorrect. The correct answer is C: 1/10. If the whole job takes 10 days at a constant rate, one day's work is 1/10.","Incorrect. The correct answer is C: 1/10. If the whole job takes 10 days at a constant rate, one day's work is 1/10.","Correct. If the whole job takes 10 days at a constant rate, one day's work is 1/10.","Incorrect. The correct answer is C: 1/10. If the whole job takes 10 days at a constant rate, one day's work is 1/10."
"FALLBACK-017","TRUE","TNPSC Group IV","TNPSC Group IV Mixed","Aptitude","","Simple interest on ₹5,000 at 8% per annum for 2 years is:","₹600","₹700","₹800","₹900","C","Incorrect. The correct answer is C: ₹800. SI = P × R × T ÷ 100 = 5000 × 8 × 2 ÷ 100 = ₹800.","Incorrect. The correct answer is C: ₹800. SI = P × R × T ÷ 100 = 5000 × 8 × 2 ÷ 100 = ₹800.","Correct. SI = P × R × T ÷ 100 = 5000 × 8 × 2 ÷ 100 = ₹800.","Incorrect. The correct answer is C: ₹800. SI = P × R × T ÷ 100 = 5000 × 8 × 2 ÷ 100 = ₹800."
"FALLBACK-018","TRUE","TNPSC Group IV","TNPSC Group IV Mixed","Indian Polity","","Who appoints the Governor of a State?","Chief Minister","Prime Minister","President of India","Chief Justice of India","C","Incorrect. The correct answer is C: President of India. The Governor of a State is appointed by the President of India.","Incorrect. The correct answer is C: President of India. The Governor of a State is appointed by the President of India.","Correct. The Governor of a State is appointed by the President of India.","Incorrect. The correct answer is C: President of India. The Governor of a State is appointed by the President of India."
"FALLBACK-019","TRUE","TNPSC Group IV","TNPSC Group IV Mixed","History","","The Quit India Movement was launched in:","1930","1935","1942","1946","C","Incorrect. The correct answer is C: 1942. The Quit India Movement was launched by the Indian National Congress in August 1942.","Incorrect. The correct answer is C: 1942. The Quit India Movement was launched by the Indian National Congress in August 1942.","Correct. The Quit India Movement was launched by the Indian National Congress in August 1942.","Incorrect. The correct answer is C: 1942. The Quit India Movement was launched by the Indian National Congress in August 1942."
"FALLBACK-020","TRUE","TNPSC Group IV","TNPSC Group IV Mixed","Geography","","Which soil is most suitable for cotton cultivation?","Alluvial soil","Black soil","Laterite soil","Desert soil","B","Incorrect. The correct answer is B: Black soil. Black soil, also called regur soil, has strong moisture-retaining capacity and is well suited for cotton.","Correct. Black soil, also called regur soil, has strong moisture-retaining capacity and is well suited for cotton.","Incorrect. The correct answer is B: Black soil. Black soil, also called regur soil, has strong moisture-retaining capacity and is well suited for cotton.","Incorrect. The correct answer is B: Black soil. Black soil, also called regur soil, has strong moisture-retaining capacity and is well suited for cotton."
